"diary_date","collector","debt_id","portfolio_id","action_type","action_detail","rpc","promise_type","promise_date","promise_amt"
"2023-02-01 06:31:56","Corrine","15093973.T","1717","correspondence","ES - Email Sent","","","","0.00"
"2023-02-01 06:45:55","Sarah","15092494.T","1718",,,"","","","0.00"
"2023-02-01 07:12:28","Tyeisha","15079143.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:13:52","Tyeisha","15090262.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:17:09","Tyeisha","15090823.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:20:30","Sarah","15063484.T","1718",,,"","","","0.00"
"2023-02-01 07:21:32","Sarah","15091945.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:22:51","Tyeisha","15092510.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:23:22","Sarah","15037137.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:29:21","Sarah","6746711.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:29:42","Sarah","15063484.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:32:19","Sarah","6865493.T","1718",,,"","","","0.00"
"2023-02-01 07:34:22","Tyeisha","15071903.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:35:09","Sarah","6889730.T","1718","contact","P2PSP - Small payments via installment","","once","2023-02-28","1000.00"
"2023-02-01 07:37:22","Sarah","6902224.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:37:46","Tyeisha","15091052.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:39:12","Juliette","15049830.T","1751","attempt","OOS - Automated Response - Out of service","","","","0.00"
"2023-02-01 07:40:33","Juliette","15084797.T","1751",,,"","","","0.00"
"2023-02-01 07:40:54","Tyeisha","6898470.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:41:52","Sarah","6914259.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:42:45","Sarah","6916300.T","1718",,,"","","","0.00"
"2023-02-01 07:42:53","Juliette","15085701.T","1751","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:43:09","Tyeisha","6938731.T","1720",,,"","","","0.00"
"2023-02-01 07:43:27","Sarah","6935245.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:44:07","Tyeisha","6940666.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:44:30","Sarah","6936698.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:44:43","Juliette","15093982.T","1751","attempt","WR - Answered - wrong number","","","","0.00"
"2023-02-01 07:46:27","Damian","6972010.T","1729","contact","IM - Incoming Message","","","","0.00"
"2023-02-01 07:47:38","Tyeisha","6946320.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:47:45","Juliette","15081980.T","1751",,,"","","","0.00"
"2023-02-01 07:47:55","Sarah","15084313.T","1718","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 07:49:50","Sarah","6938622.T","1718","contact","NPU - Debtor unable to make payment - unemployed","","","","0.00"
"2023-02-01 07:51:59","Sarah","6938699.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:52:10","Tyeisha","6949545.T","1720","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:52:14","Juliette","15087976.T","1751","attempt","CD - Answered - call disconnect","","","","0.00"
"2023-02-01 07:52:44","Sarah","6948768.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:53:54","Nicola","15067238.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
"2023-02-01 07:54:10","Sarah","6954032.T","1718",,,"","","","0.00"
"2023-02-01 07:56:30","Sarah","6914259.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:56:36","Sarah","6955418.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:57:05","Sarah","6962634.T","1718","attempt","NANV - No answer - No option for voicemail","","","","0.00"
"2023-02-01 07:57:25","Nicola","15068365.T","1719","contact","DMP -  Debtor Made Payment","RPC","","","0.00"
