"country","debt_id","portfolio_id","collector","comm_target","debt_age","age_bucket","sector","client_name","d_status","paying_accs","new_accs","debt_original_amount"
"Trinidad","6757561.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK LTD (N/CRED) CENTRALISE CR","Active","Non-paying","Not New","1827.55"
"Trinidad","6788149.T","103","Krishandai","66315",,"Unknown","Other","STANDARD DIST. LTD. (NORTH)","Active","Non-paying","Not New","6626.50"
"Trinidad","6789444.T","103","Krishandai","66315","11.28","Over 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Judgement","Paying","Not New","66563.60"
"Trinidad","6799590.T","103","Krishandai","66315",,"Unknown","Other","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","5134.26"
"Trinidad","6828551.T","103","Krishandai","66315",,"Unknown","Other","THE AMERICAN STORES LIMITED","Active","Non-paying","Not New","13524.80"
"Trinidad","6831897.T","103","Krishandai","66315","15.44","Over 10 yrs","Other","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","6165.00"
"Trinidad","6835033.T","103","Krishandai","66315","14.58","Over 10 yrs","Other","FIRST CITIZENS BANK (CARD SER)COLLECTION","Active","Paying","Not New","3003.07"
"Trinidad","6847526.T","103","Krishandai","66315",,"Unknown","Other","ROVON HOME HEALTH CARE LTD","Paid Off","Paying","Not New","17000.30"
"Trinidad","6864159.T","103","Krishandai","66315",,"Unknown","Other","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","14334.00"
"Trinidad","6866161.T","103","Krishandai","66315","6.82","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","44287.30"
"Trinidad","6866215.T","103","Krishandai","66315","13.12","Over 10 yrs","Banking","SCOTIABANK T & T LTD (CRC UNIT).","Judgement","Paying","Not New","48844.10"
"Trinidad","6867783.T","103","Krishandai","66315",,"Unknown","Other","SCOTIABANK T & T LTD (CRC UNIT).","Active","Non-paying","Not New","27192.10"
"Trinidad","6868362.T","103","Krishandai","66315","9.32","5 - 10 yrs","Banking","SCOTIABANK T & T LTD (CRC UNIT).","Judgement","Paying","Not New","43905.90"
"Trinidad","6868816.T","103","Krishandai","66315",,"Unknown","Other","UNICOMER (T'DAD) LTD (FORMERLY COURTS)","Active","Paying","Not New","8211.01"
"Trinidad","6870102.T","103","Krishandai","66315","6.32","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","7872.37"
"Trinidad","6870140.T","103","Krishandai","66315","10.09","Over 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Judgement","Paying","Not New","16886.50"
"Trinidad","6870669.T","103","Krishandai","66315",,"Unknown","Banking","SCOTIABANK T & T LTD (CRC UNIT).","Active","Paying","Not New","68253.40"
"Trinidad","6870987.T","103","Krishandai","66315","13.47","Over 10 yrs","Banking","SCOTIABANK T & T LTD (CRC UNIT).","Active","Non-paying","Not New","76862.50"
"Trinidad","6872404.T","103","Krishandai","66315","11.07","Over 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","4560.00"
"Trinidad","6872627.T","103","Krishandai","66315","6.95","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","14872.70"
"Trinidad","6873028.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","14949.50"
"Trinidad","6873873.T","103","Krishandai","66315","8.56","5 - 10 yrs","Banking","FIRST CITIZENS BANK (CENTRALISED COLL UNIT)","Active","Paying","Not New","12790.60"
"Trinidad","6874084.T","103","Krishandai","66315",,"Unknown","Other","UNICOMER (T'DAD) LTD (FORMERLY COURTS)","Active","Non-paying","Not New","6376.53"
"Trinidad","6876483.T","103","Krishandai","66315","11.37","Over 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","8435.00"
"Trinidad","6880645.T","103","Krishandai","66315","9.15","5 - 10 yrs","Finance","THE INSURANCE INDUSTRY CREDIT UNION","Active","Paying","Not New","11132.90"
"Trinidad","6881917.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","21892.20"
"Trinidad","6884229.T","103","Krishandai","66315",,"Unknown","Other","REPUBLIC BANK (CENTRALISED CREDIT)","Historical","Non-paying","Not New","6900.00"
"Trinidad","6885064.T","103","Krishandai","66315","9.78","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","8640.30"
"Trinidad","6886049.T","103","Krishandai","66315",,"Unknown","Other","SCOTIABANK T & T LTD (CRC UNIT).","Historical","Non-paying","Not New","15065.80"
"Trinidad","6887009.T","103","Krishandai","66315","10.59","Over 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","11807.90"
"Trinidad","6888252.T","103","Krishandai","66315","6.25","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","42815.00"
"Trinidad","6888297.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","32245.80"
"Trinidad","6888408.T","103","Krishandai","66315","10.70","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","18068.20"
"Trinidad","6889007.T","103","Krishandai","66315","6.19","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","15731.00"
"Trinidad","6889018.T","103","Krishandai","66315","7.37","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","13560.00"
